Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time_point,Tissue
SRR13202705,RNA-Seq,65,576620590,PRJNA682757,SAMN17006973,264276477,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9635937,GSM4958160,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958160,Patient 19,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202708,RNA-Seq,65,584667265,PRJNA682757,SAMN17006973,258076419,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9635937,GSM4958160,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958160,Patient 19,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202710,RNA-Seq,65,609121695,PRJNA682757,SAMN17006972,278631049,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9635938,GSM4958161,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958161,Patient 19,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202714,RNA-Seq,65,626416700,PRJNA682757,SAMN17006971,283851336,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX9635939,GSM4958162,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958162,Patient 19,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202716,RNA-Seq,65,638466400,PRJNA682757,SAMN17006971,280376214,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX9635939,GSM4958162,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958162,Patient 19,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202718,RNA-Seq,65,564634265,PRJNA682757,SAMN17006970,255063976,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX9635940,GSM4958163,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958163,Patient 19,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202720,RNA-Seq,65,575586440,PRJNA682757,SAMN17006970,251246365,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX9635940,GSM4958163,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958163,Patient 19,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202721,RNA-Seq,65,543261680,PRJNA682757,SAMN17007024,247296243,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9635941,GSM4958164,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958164,Patient 19,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202723,RNA-Seq,65,550370405,PRJNA682757,SAMN17007024,244251866,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9635941,GSM4958164,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958164,Patient 19,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202724,RNA-Seq,65,551173155,PRJNA682757,SAMN17007024,241238229,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX9635941,GSM4958164,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958164,Patient 19,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202726,OTHER,65,573279070,PRJNA682757,SAMN17007030,264533945,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635942,GSM4958165,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958165,Patient 19,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202728,OTHER,65,584517765,PRJNA682757,SAMN17007030,260850556,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX9635942,GSM4958165,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958165,Patient 19,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202730,OTHER,65,678332070,PRJNA682757,SAMN17007029,314874992,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9635943,GSM4958166,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958166,Patient 19,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202731,OTHER,65,690261910,PRJNA682757,SAMN17007029,316702936,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX9635943,GSM4958166,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958166,Patient 19,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202732,OTHER,65,690604915,PRJNA682757,SAMN17007029,311646533,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX9635943,GSM4958166,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958166,Patient 19,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202734,OTHER,65,669680635,PRJNA682757,SAMN17007028,309787889,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX9635944,GSM4958167,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958167,Patient 19,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202735,OTHER,65,682755580,PRJNA682757,SAMN17007028,314455920,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9635944,GSM4958167,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958167,Patient 19,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202738,OTHER,65,703144390,PRJNA682757,SAMN17007027,324340653,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9635945,GSM4958168,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958168,Patient 19,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202740,OTHER,65,716753050,PRJNA682757,SAMN17007027,319321720,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX9635945,GSM4958168,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958168,Patient 19,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202741,OTHER,65,659403160,PRJNA682757,SAMN17007026,307761199,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9635946,GSM4958169,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958169,Patient 19,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202744,OTHER,65,667073420,PRJNA682757,SAMN17007026,298467690,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9635946,GSM4958169,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958169,Patient 19,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202746,OTHER,65,703306565,PRJNA682757,SAMN17007025,322576559,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9635947,GSM4958170,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958170,Patient 19,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202747,OTHER,65,716449825,PRJNA682757,SAMN17007025,324156633,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635947,GSM4958170,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958170,Patient 19,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202750,RNA-Seq,50,2155882800,PRJNA682757,SAMN17007022,994020480,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635949,GSM4958172,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958172,Patient 20,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202751,RNA-Seq,50,2158883600,PRJNA682757,SAMN17007021,998112750,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9635950,GSM4958173,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958173,Patient 20,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202753,RNA-Seq,50,2162878500,PRJNA682757,SAMN17007019,998739319,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9635952,GSM4958175,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958175,Patient 20,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202754,RNA-Seq,50,2219160000,PRJNA682757,SAMN17007018,1021432153,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635953,GSM4958176,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958176,Patient 20,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202576,OTHER,50,2041696100,PRJNA682757,SAMN17007016,926253659,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9635955,GSM4958178,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958178,Patient 20,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202577,OTHER,50,2012775900,PRJNA682757,SAMN17007015,920604605,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX9635956,GSM4958179,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958179,Patient 20,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202578,OTHER,50,1969149000,PRJNA682757,SAMN17007044,905507081,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9635957,GSM4958180,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958180,Patient 20,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202582,RNA-Seq,50,2158372100,PRJNA682757,SAMN17007040,993756434,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX9635961,GSM4958184,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958184,Patient 21,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202583,RNA-Seq,50,1865003300,PRJNA682757,SAMN17007039,851977695,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9635962,GSM4958185,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958185,Patient 21,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202585,RNA-Seq,50,1992067200,PRJNA682757,SAMN17007037,909023572,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9635964,GSM4958187,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958187,Patient 21,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202589,OTHER,50,2594985650,PRJNA682757,SAMN17007033,1178505655,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9635968,GSM4958191,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958191,Patient 21,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202590,OTHER,50,2146584750,PRJNA682757,SAMN17007032,965019345,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9635969,GSM4958192,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958192,Patient 21,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202593,RNA-Seq,50,1810178650,PRJNA682757,SAMN17006968,801513506,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX9635972,GSM4958195,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958195,Patient 23,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202596,RNA-Seq,50,1864125800,PRJNA682757,SAMN17006997,824208959,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX9635975,GSM4958198,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958198,Patient 23,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202597,RNA-Seq,50,2038086600,PRJNA682757,SAMN17006996,906844044,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX9635976,GSM4958199,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958199,Patient 23,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202599,OTHER,50,3641374450,PRJNA682757,SAMN17006994,1646876295,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX9635978,GSM4958201,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958201,Patient 23,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202600,OTHER,50,4213672750,PRJNA682757,SAMN17006993,1901774312,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9635979,GSM4958202,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958202,Patient 23,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202603,OTHER,50,3672502300,PRJNA682757,SAMN17006990,1618165872,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9635982,GSM4958205,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958205,Patient 23,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202604,OTHER,50,4161158800,PRJNA682757,SAMN17006989,1826703051,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9635983,GSM4958206,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958206,Patient 23,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202606,RNA-Seq,50,2085594800,PRJNA682757,SAMN17006987,919993490,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX9635985,GSM4958208,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958208,Patient 25,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202610,RNA-Seq,50,2101548500,PRJNA682757,SAMN17006983,929050676,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9635989,GSM4958212,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958212,Patient 25,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202612,OTHER,50,3871461300,PRJNA682757,SAMN17007014,1727440737,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX9635991,GSM4958214,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958214,Patient 25,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202613,OTHER,50,4444936150,PRJNA682757,SAMN17007013,1964773284,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX9635992,GSM4958215,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958215,Patient 25,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202615,OTHER,50,4623027650,PRJNA682757,SAMN17007011,2060709732,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX9635994,GSM4958217,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958217,Patient 25,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202616,OTHER,50,4182820200,PRJNA682757,SAMN17007010,1864130265,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX9635995,GSM4958218,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958218,Patient 25,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202618,RNA-Seq,65,2929376190,PRJNA682757,SAMN17007008,1270965368,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX9635997,GSM4958220,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958220,Patient 26,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202619,RNA-Seq,65,2698460050,PRJNA682757,SAMN17007007,1169067710,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9635998,GSM4958221,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958221,Patient 26,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202622,RNA-Seq,65,2806900200,PRJNA682757,SAMN17006998,1219165242,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX9636001,GSM4958224,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958224,Patient 26,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202625,OTHER,65,6436937130,PRJNA682757,SAMN17007002,2827055120,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9636004,GSM4958227,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958227,Patient 26,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202628,OTHER,65,4807573875,PRJNA682757,SAMN17006999,2137482284,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9636007,GSM4958230,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958230,Patient 26,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202629,OTHER,65,595448100,PRJNA682757,SAMN17006965,276320556,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX9635912,GSM4958135,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958135,Patient 17,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202633,OTHER,65,775610875,PRJNA682757,SAMN17006964,362388165,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9635913,GSM4958136,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958136,Patient 17,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202634,OTHER,65,772005910,PRJNA682757,SAMN17006964,356862867,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9635913,GSM4958136,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958136,Patient 17,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202635,OTHER,65,785540080,PRJNA682757,SAMN17006964,361067850,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9635913,GSM4958136,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958136,Patient 17,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202638,OTHER,65,657447960,PRJNA682757,SAMN17006963,299088038,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9635914,GSM4958137,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958137,Patient 17,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202639,OTHER,65,670722000,PRJNA682757,SAMN17006963,301716779,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX9635914,GSM4958137,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958137,Patient 17,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202641,OTHER,65,515062210,PRJNA682757,SAMN17006962,237290336,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9635915,GSM4958138,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958138,Patient 17,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202644,OTHER,65,523097250,PRJNA682757,SAMN17006962,231190189,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9635915,GSM4958138,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958138,Patient 17,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202646,OTHER,65,597047165,PRJNA682757,SAMN17006961,273133369,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX9635916,GSM4958139,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958139,Patient 17,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202647,OTHER,65,608261680,PRJNA682757,SAMN17006961,273851827,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX9635916,GSM4958139,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958139,Patient 17,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202650,OTHER,65,681360875,PRJNA682757,SAMN17006960,311675656,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635917,GSM4958140,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958140,Patient 17,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202651,OTHER,65,694035615,PRJNA682757,SAMN17006960,313821071,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX9635917,GSM4958140,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958140,Patient 17,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
